name,phone_number,address,city_zip
Ad,,,
Ad,,,
Ad,,,
Crescent  City Steak House LOUISIANA,(504) 508-5678,1001 N Broad St,"New Orleans, LA 70119"
Roberts Gumbo Shop,(504) 525-1486,630 Saint Peters Street,"New Orleans, LA 70116"
The Original Italian Pie,(504) 867-6772,417 S Rampart St,"New Orleans, LA 70112"
Deja Vu Restaurant & Bar,(504) 523-1931,400 Dauphine St,"New Orleans, LA 70112"
Crillo Restaurant,(504) 523-3341,214 Royal St,"New Orleans, LA 70130"
Pho Cam Ly,(504) 644-4228,MAGAZINE St,"New Orleans, LA 70115"
Big Fisherman Seafood,(504) 897-9907,3301 Magazine St,"New Orleans, LA 70115"
Pho Orchid Uptown,(504) 609-3710,2315 Saint Charles Ave,"New Orleans, LA 70130"
Commander's Palace,(504) 899-8221,1403 Washington Ave,"New Orleans, LA 70130"
Acme Oyster House,(504) 522-5973,724 Iberville St,"New Orleans, LA 70130"
Mother's Restaurant,(504) 523-9656,401 Poydras St,"New Orleans, LA 70130"
Oceana Grill,(504) 525-6002,739 Conti St,"New Orleans, LA 70130"
Clover Grill,(504) 598-1010,900 Bourbon St,"New Orleans, LA 70116"
The Star Steak & Lobster House,(504) 525-6151,237 Decatur St,"New Orleans, LA 70130"
Domenica,(504) 648-6020,123 Baronne St,"New Orleans, LA 70112"
Arnaud's Restaurant,(504) 523-5433,813 Bienville St,"New Orleans, LA 70112"
Mandina's Restaurant,(504) 482-9179,3800 Canal St,"New Orleans, LA 70119"
Antoine's Restaurant,(504) 581-4422,713 Saint Louis St,"New Orleans, LA 70130"
Lucy's Retired Surfers Bar & Restaurant,(504) 523-8995,701 Tchoupitoulas St,"New Orleans, LA 70130"
Pere Antoine Restaurant,(504) 581-4478,741 Royal St,"New Orleans, LA 70116"
Le Bayou Restaurant,(504) 525-4755,503 Bourbon St,"New Orleans, LA 70130"
Casamento's Restaurant,(504) 895-9761,4330 Magazine St,"New Orleans, LA 70115"
Jaeger's Seafood and Oyster House,(504) 818-2200,901 S Clearview Pkwy,"New Orleans, LA 70121"
Applebee's,(504) 361-9700,4005 General Degaulle Dr,"New Orleans, LA 70114"
Steak Knife Restaurant The,(504) 488-8981,888 Harrison Ave,"New Orleans, LA 70124"
Deanie's Seafood Restaurant,(504) 581-1316,841 Iberville St,"New Orleans, LA 70112"
Tony Angello's Restaurant,(504) 488-0888,6262 Fleur De Lis Dr,"New Orleans, LA 70124"
Superior Seafood,(504) 293-3474,4338 Saint Charles Ave,"New Orleans, LA 70115"
Latrobe's On Royal,(504) 299-0601,403 Royal St,"New Orleans, LA 70130"
Elizabeth's Restaurant,(504) 944-9272,601 Gallier St,"New Orleans, LA 70117"
